Timestamp,Bad Thing,Value,Date,URL
6/4/2015 11:14:59,"Rockies lose to Dodgers, 11-4",2,6/1/2015,http://www.denverpost.com/news/ci_28232586/rockies-winning-streak-ends-against-dodgers-and-clayton-kershaw
6/3/2015 16:25:02,"Rockies give up grand slam with two outs, two strikes in the ninth to lose to Dodgers",10,6/2/2015,http://www.denverpost.com/rockies/ci_28240647/rockies-split-dodgers-after-gut-wrenching-loss-nightcap
6/3/2015 16:25:44,Jordan Lyles done for the season with toe injury,4,,http://www.denverpost.com/rockies/ci_28244652/rockies-jordan-lyles-done-season-toe-injury
6/8/2015 13:07:44,Rockies lose to Marlins 6-2,1,6/5/2015,http://www.denverpost.com/rockies/ci_28263910/rockies-fall-marlins-giancarlo-stanton-launches-478-foot
6/8/2015 13:08:35,"Rockies lose to Marlins in 10 innings, 3-2",2,6/7/2015,http://www.denverpost.com/rockies/ci_28271267/rockies-fall-marlins-10-innings-when-adeiny-hechavarria
6/11/2015 13:32:43,"Rockies fall to Cardinals 4-2, miss chance at sweep",2,6/10/2015,http://www.denverpost.com/rockies/ci_28292004/rockies-fall-cardinals-4-2-lose-chance-at-sweep
6/12/2015 13:32:30,Rockies fall to Marlins 6-0,2,6/11/2015,http://www.denverpost.com/rockies/ci_28298390/rockies-fall-marlins-shutout-third-time-this-season
6/19/2015 13:50:24,"Rockies lose to Marlins, 5-1",1,6/12/2015,http://www.denverpost.com/rockies/ci_28304843/colorado-rockies-shut-down-again-latest-loss-at
6/19/2015 13:51:54,"Rockies lose to Marlins, 4-1",2,6/13/2015,http://www.denverpost.com/rockies/ci_28308579/rockies-offense-missing-action-another-loss-miami-marlins
6/19/2015 13:52:59,"Rockies lose to Astros, 6-3",1,6/15/2015,http://www.denverpost.com/rockies/ci_28320112/rockies-lose-astros-fall-seven-games-under-500
6/19/2015 13:54:09,"Rockies lose to Astros, 8-5, go 1-5 on road trip",2,6/16/2015,http://www.denverpost.com/rockies/ci_28325381/rockies-fall-astros-8-5-finish-road-trip
6/19/2015 13:55:08,"Rockies lose to Astros, 8-4",3,6/17/2015,http://www.denverpost.com/rockies/ci_28334930/astros-blast-four-home-runs-8-4-victory
6/19/2015 13:55:33,"Rockies lose to Astros, 8-4, have lost 8 of last 9",4,6/18/2015,http://www.denverpost.com/rockies/ci_28340661/astros-sweep-rockies-8-4-david-hale-hit-hard
6/23/2015 17:09:55,Rockies lose to Brewers 5-9,4,6/19/2015,
6/23/2015 17:11:10,Carlos Gonzales leaves game with mild hand sprain,3,6/21/2015,http://www.denverpost.com/rockies/ci_28355902/rockies-gonzalez-leaves-game-mild-hand-sprain
6/23/2015 17:12:49,Former Rockie killed in murder-suicide,5,6/22/2015,http://www.denverpost.com/rockies/ci_28360774/darryl-hamilton-killed-murder-suicide-houston-home
6/25/2015 8:55:25,"Rockies lose to D-backs, become 4th NL team to reach 40 losses",3,6/24/2015,http://www.denverpost.com/rockies/ci_28378764/rockies-give-up-3-runs-late-john-axford
6/25/2015 13:27:25,"Rockies players read mean fan comments aloud, on video",3,6/24/2015,http://blogs.denverpost.com/rockies/2015/06/24/watch-colorado-rockies-players-read-mean-tweets/20289/
6/26/2015 10:59:35,Jorge De La Rosa leaves game with cut left middle finger,2,6/25/2015,http://www.denverpost.com/rockies/ci_28384357/jorge-de-la-rosa-leaves-game-cut-left
6/28/2015 10:03:52,"Rockies lose to Giants, 7-5",2,6/27/2015,http://www.denverpost.com/rockies/ci_28395218/rockies-lose-at-san-francisco-first-time-2015
6/29/2015 6:16:55,"Rockies lose to Giants, 6-3",2,6/28/2015,http://www.denverpost.com/rockies/ci_28398581/kyle-kendrick-gives-up-two-more-hrs-giants
6/29/2015 6:17:40,Starting pitcher Kyle Kendrick has given up more home runs (23) than anyone else in the MLB,3,6/28/2015,http://www.denverpost.com/rockies/ci_28398581/kyle-kendrick-gives-up-two-more-hrs-giants
6/30/2015 6:42:00,Rockies blown out 7-1 vs. A's,3,6/29/2015,http://www.denverpost.com/rockies/ci_28405346/david-hale-offense-struggle-loss
7/2/2015 7:58:15,"Rockies lose to A's 1-4, have scored four runs in three game",3,7/1/2015,http://www.denverpost.com/rockies/ci_28417287/rockies-lose-at-oakland-fall-2-4-10-game-road-trip
7/3/2015 7:05:58,Arizona shellacks Rockies 8-1,5,7/2/2015,http://www.denverpost.com/rockies/ci_28427475/error-by-nolan-arenado-costly-rockies
7/3/2015 7:09:13,"Nolan Arenado says if he makes the All-Star Game, participating in Home Run Derby would be ""too much""",2,7/2/2015,http://www.denverpost.com/rockies/ci_28425889/rockies-not-participating-home-run-derby
7/4/2015 8:03:53,"Rockies lose three straight, fall to Arizona 4-3 in 10 innings",4,7/3/2015,http://www.denverpost.com/rockies/ci_28432031/rockies-held-four-hits-by-diamondbacks-third-straight
7/5/2015 8:18:49,"Arizona hands Rockies fourth loss in a row, 7-3",4,7/4/2015,http://www.denverpost.com/rockies/ci_28435363/diamondbacks-beat-rockies-7-3-due-poor-8th
7/5/2015 8:24:25,Let's take a look at the Rockies' pitching woes,1,7/4/2015,http://www.denverpost.com/rockies/ci_28433769/rockies-continue-lose-ground-arms-race
7/8/2015 5:52:07,"Rockies blasted by Angels 10-2, have lost eight of last nine",6,7/7/2015,http://www.denverpost.com/rockies/ci_28449463/rockies-blasted-by-angels-and-bettis-gives-up
7/9/2015 6:10:47,"Rockies lose to Angels 3-2, have lost nine of last eleven",5,7/8/2015,http://www.denverpost.com/rockies/ci_28457412/rockies-fall-angels-have-lost-nine-their-last
7/19/2015 12:07:53,"Rockies lose 4-2, end 4-game winning streak, become fifth big-league team to reach 50 losses this season",2,7/17/2015,http://www.denverpost.com/rockies/ci_28503391/back-from-all-star-break-rockies-lose-series
7/19/2015 12:08:53,Rockies lose to Padres 5-4,2,7/18/2015,http://photos.denverpost.com/2015/07/18/photos-rockies-lose-to-padres-5-4/
7/20/2015 10:46:35,Pitcher Chad Bettis goes on 15-day DL with elbow injury,3,7/19/2015,http://www.denverpost.com/rockies/ci_28507528/chad-bettis-suffers-elbow-injury-moved-colorado-rockies
7/22/2015 9:42:06,Rockies blown out 9-0 at home,4,7/21/2015,http://www.denverpost.com/rockies/ci_28519911/rockies-get-routed-by-rangers-allow-cycle-shin
7/23/2015 8:26:43,Rockies lose to Rangers 10-8,2,7/22/2015,http://www.denverpost.com/rockies/ci_28524033/rockies-fall-rangers-wilin-rosario-struggles-at-first
7/24/2015 11:17:01,Rockies TV ratings plummet,3,7/24/2015,http://www.denverpost.com/dustysaunders/ci_28531002/dusty-saunders-rockies-tv-ratings-root-plummet-from
7/26/2015 17:32:41,"Rockies lose to Reds, 5-2",1,7/25/2015,http://www.denverpost.com/rockies/ci_28539236/rockies
7/28/2015 8:02:19,"Colorado Rockies blow two leads, lose to Chicago Cubs on 9th inning 2-run home run",8,7/27/2015,http://www.denverpost.com/rockies/ci_28547315/colorado-rockies-blow-4-0-lead-lose-chicago
7/28/2015 8:19:12,Source: Troy Tulowitzki traded to Toronto,9,7/27/2015,http://www.denverpost.com/rockies/ci_28547585/source-rockies-trade-troy-tulowitzki-toronto-blue-jays
7/30/2015 8:43:05,Rockies' batters strike out 16 times in 3-2 loss to Chicago Cubs,2,7/29/2015,http://www.denverpost.com/rockies/ci_28555973/rockies-batters-strike-out-16-times-3-2-loss-chicago-cubs
7/31/2015 8:27:24,"Rockies blow two-run lead in ninth, lose on a walk-off walk to St. Louis Cardinals",6,7/30/2015,http://www.denverpost.com/rockies/ci_28564273/rockies-blow-two-run-lead-ninth-lose-st
8/1/2015 10:42:27,"Rockies shut out 7-0, have lost three in a row",5,7/31/2015,http://www.denverpost.com/rockies/ci_28569956/rockies-shut-out-by-cardinals-michael-wacha
8/1/2015 10:43:42,"Corey Dickerson, one of the Rockies' best hitters, placed on 15 day DL",3,7/31/2015,http://www.denverpost.com/rockies/ci_28569956/rockies-shut-out-by-cardinals-michael-wacha
8/3/2015 9:42:10,"Cardinals pin another walk-off loss on Rockies in series finale, Rockies are on pace to lose 93 games",3,8/2/2015,http://www.denverpost.com/rockies/ci_28575122/cardinals-pin-another-walk-off-loss-rockies-series
8/4/2015 4:48:16,"Rockies rally falls short by one run against Mariners, lose 8-7",4,8/3/2015,http://www.denverpost.com/rockies/ci_28581126/rockies-furious-rally-ninth-falls-just-short-against
8/5/2015 8:17:08,"Rockies lose to Mariners 10-4, have lost three in a row",3,8/4/2015,http://www.denverpost.com/rockies/ci_28587694/rockies-rookie-jon-gray-battles-during-his-big
8/9/2015 17:26:33,Nationals best Rockies 6-1,2,8/8/2015,http://www.denverpost.com/rockies/ci_28608986/strasburg-dominant-nationals-return-from-dl-beats-rockies
8/11/2015 6:31:13,"One ugly inning sends the Rockies down against the Mets, 4-2",1,8/10/2015,http://www.denverpost.com/rockies/ci_28617899/jon-gray-takes-no-decision-rockies-fall-mets
8/11/2015 7:46:08,Tulowitzki's new team has yet to lose in the 11 games he's started in since he was traded,4,8/11/2015,http://www.denverpost.com/hochman/ci_28617849/hochman-troy-tulowitzki-quick-make-impact-toronto
8/12/2015 9:59:45,"Mets shut out Rockies, 4-0",3,8/11/2015,http://www.denverpost.com/rockies/ci_28624235/mets-matt-harvey-shuts-down-rockies-new-york
8/13/2015 6:35:16,"Mets shut out Rockies again, 3-0",6,8/12/2015,http://www.denverpost.com/rockies/ci_28631221/rockies-shut-out-at-mets-second-consecutive-game
8/14/2015 7:20:06,"Mets sweep Rockies series, hand Rockies a most lopsided defeat 12-3, Rockies fall a season-worst 19 games under .500",6,8/13/2015,http://www.denverpost.com/rockies/ci_28635590/eddie-butler-rockies-struggle-colorado-falls-mets-12-3
8/15/2015 8:16:09,"Boone Logan,  in the second year of a three year, $16.5-million contract, back on the disabled list",2,8/14/2015,http://www.denverpost.com/rockies/ci_28642660/eddie-butler-demoted-triple-rockies-move-boone-logan
